list-d-m,12,32,1,1152,1859455,1614
list-il-m,12,1,1,36,375051,10418
list-il-m,12,2,1,72,353661,4911
list-il-m,12,4,1,144,401972,2791
list-il-m,12,8,1,288,917700,3186
list-il-m,12,16,1,576,2045518,3551
list-il-m,12,32,1,1152,4786502,4154
list-dl-m,12,1,1,36,380004,10555
list-dl-m,12,2,1,72,421525,5854
list-dl-m,12,4,1,144,415118,2882
list-dl-m,12,8,1,288,806654,2800
list-dl-m,12,16,1,576,1864281,3236
list-dl-m,12,32,1,1152,3876376,3364
list-i-s,2,1,1,6,99787,16631
list-i-s,2,2,1,12,115894,9657
list-i-s,2,4,1,24,113743,4739
list-i-s,2,8,1,48,116074,2418
list-i-s,2,16,1,96,180410,1879
list-i-s,2,32,1,192,160984,838
list-d-s,2,1,1,6,116868,19478
list-d-s,2,2,1,12,111203,9266
list-d-s,2,4,1,24,75785,3157
list-d-s,2,8,1,48,87191,1816
list-d-s,2,16,1,96,104131,1084
list-d-s,2,32,1,192,139102,724
list-il-s,2,1,1,6,80126,13354
list-il-s,2,2,1,12,99002,8250
list-il-s,2,4,1,24,93350,3889
list-il-s,2,8,1,48,114378,2382
list-il-s,2,16,1,96,203667,2121
list-il-s,2,32,1,192,238934,1244
list-dl-s,2,1,1,6,110024,18337
list-dl-s,2,2,1,12,115189,9599
list-dl-s,2,4,1,24,116182,4840
list-dl-s,2,8,1,48,112095,2335
list-dl-s,2,16,1,96,160106,1667
list-dl-s,2,32,1,192,241186,1256
list-i-s,4,1,1,12,160303,13358
list-i-s,4,2,1,24,134662,5610
list-i-s,4,4,1,48,136909,2852
list-i-s,4,8,1,96,143093,1490
list-i-s,4,16,1,192,205051,1067
list-i-s,4,32,1,384,297146,773
list-d-s,4,1,1,12,147758,12313
list-d-s,4,2,1,24,156956,6539
list-d-s,4,4,1,48,157717,3285
list-d-s,4,8,1,96,169170,1762
list-d-s,4,16,1,192,191903,999
list-d-s,4,32,1,384,237554,618
list-il-s,4,1,1,12,143735,11977
list-il-s,4,2,1,24,165685,6903
list-il-s,4,4,1,48,146685,3055
list-il-s,4,8,1,96,174272,1815
list-il-s,4,16,1,192,288121,1500
list-il-s,4,32,1,384,663627,1728
list-dl-s,4,1,1,12,205891,17157
list-dl-s,4,2,1,24,225997,9416
list-dl-s,4,4,1,48,158915,3310
list-dl-s,4,8,1,96,184233,1919
list-dl-s,4,16,1,192,266656,1388
list-dl-s,4,32,1,384,524368,1365
list-i-s,8,1,1,24,254864,10619
list-i-s,8,2,1,48,310585,6470
list-i-s,8,4,1,96,299236,3117
list-i-s,8,8,1,192,260386,1356
list-i-s,8,16,1,384,302666,788
list-i-s,8,32,1,768,823033,1071
